x,y,z,salinity
557.9831932775495,4799.6341117542015,-1.5,34.807286297570464
557.9831932775495,4799.6341117542015,-2.5,35.07415518926975
557.9831932775495,4799.6341117542015,-3.5,35.15889610271925
557.9831932775495,4799.6341117542015,-4.5,35.19882634973777
627.7310924369465,4799.588373140593,-0.5,34.147782349394596
627.7310924369465,4799.588373140593,-1.5,34.794428802759576
627.7310924369465,4799.588373140593,-2.5,35.06990610539835
627.7310924369465,4799.588373140593,-3.5,35.15712204731002
627.7310924369465,4799.588373140593,-4.5,35.19792398144445
697.4789915963436,4799.542633953025,-0.5,34.11480814222769
697.4789915963436,4799.542633953025,-1.5,34.78229109692851
697.4789915963436,4799.542633953025,-2.5,35.066155035198285
697.4789915963436,4799.542633953025,-3.5,35.155419282016204
697.4789915963436,4799.542633953025,-4.5,35.19705771320535
767.2268907565316,4799.496894191508,-0.5,34.08144276050059
767.2268907565316,4799.496894191508,-1.5,34.770315686495366
767.2268907565316,4799.496894191508,-2.5,35.06203742490854
767.2268907565316,4799.496894191508,-3.5,35.15341095032354
767.2268907565316,4799.496894191508,-4.5,35.1959779813741
836.9747899159287,4799.451153856045,-0.5,34.059490007124985
836.9747899159287,4799.451153856045,-1.5,34.763473185522095
836.9747899159287,4799.451153856045,-2.5,35.05937149372965
836.9747899159287,4799.451153856045,-3.5,35.15206001358313
836.9747899159287,4799.451153856045,-4.5,35.19525535983435
906.7226890753258,4799.405412946641,-0.5,34.0490902070681
906.7226890753258,4799.405412946641,-1.5,34.75851593809274
906.7226890753258,4799.405412946641,-2.5,35.057804967566064
906.7226890753258,4799.405412946641,-3.5,35.15155167707203
906.7226890753258,4799.405412946641,-4.5,35.19494923816267
976.4705882355139,4799.359671463302,-0.5,34.032856718841415
976.4705882355139,4799.359671463302,-1.5,34.75243061871809
976.4705882355139,4799.359671463302,-2.5,35.05601152622471
976.4705882355139,4799.359671463302,-3.5,35.150924547700924
976.4705882355139,4799.359671463302,-4.5,35.194667452377395
1046.2184873949109,4799.313929406036,-0.5,34.00496810682599
1046.2184873949109,4799.313929406036,-1.5,34.74240439381162
1046.2184873949109,4799.313929406036,-2.5,35.05269959336859
1046.2184873949109,4799.313929406036,-3.5,35.14977847000221
1046.2184873949109,4799.313929406036,-4.5,35.19410773278958
1115.9663865543077,4799.268186774846,-0.5,33.96724181725539
1115.9663865543077,4799.268186774846,-1.5,34.72790200306107
1115.9663865543077,4799.268186774846,-2.5,35.048175038815
1115.9663865543077,4799.268186774846,-3.5,35.14786007097838
1115.9663865543077,4799.268186774846,-4.5,35.193064824068934
1185.7142857144959,4799.222443569736,-0.5,33.918736377287956
1185.7142857144959,4799.222443569736,-1.5,34.71023865883493
1185.7142857144959,4799.222443569736,-2.5,35.04254558854933
1185.7142857144959,4799.222443569736,-3.5,35.14489903812128
1185.7142857144959,4799.222443569736,-4.5,35.19148889898468
1255.462184873893,4799.176699790715,-0.5,33.8747389391585
1255.462184873893,4799.176699790715,-1.5,34.696949236867006
1255.462184873893,4799.176699790715,-2.5,35.037374666939705
1255.462184873893,4799.176699790715,-3.5,35.142312676659024
1255.462184873893,4799.176699790715,-4.5,35.190114285205546
