CÁLCULO DE MARÉS DE PORTOS PORTUGUESES
FACULDADE DE CIÊNCIAS DA UNIVERSIDADE DE LISBOA
Carlos Antunes, http://enggeografica.fc.ul.pt

MODELO DE PREVISÃO DE MARÉS DA FCUL (EG/DEGGE)                  
ajustado ao marégrafo de LEIXÕES pelo Grupo de EG da FCUL       
DADOS DE MARÉ DO Instituto Hidrográfico - 1H DE 2007            

PORTO DE LEIXOES_FCUL             

  Data       Hora   Alt    Maré
2019-02-16   6:04  1.30  Baixa-Mar           
2019-02-16  12:19  3.18  Preia-Mar           
2019-02-16  18:28  1.23  Baixa-Mar           
2019-02-17   0:46  3.44  Preia-Mar           
2019-02-17   7:04  1.03  Baixa-Mar           
2019-02-17  13:17  3.41  Preia-Mar           
2019-02-17  19:22   .99  Baixa-Mar           
2019-02-18   1:39  3.71  Preia-Mar           
2019-02-18   7:56  0.76  Baixa-Mar           
2019-02-18  14:08  3.63  Preia-Mar           
2019-02-18  20:11  0.77  Baixa-Mar           
2019-02-19   2:27  3.95  Preia-Mar           
2019-02-19   8:43  0.55  Baixa-Mar           
2019-02-19  14:55  3.80  Preia-Mar           
2019-02-19  20:57  0.61  Baixa-Mar           
2019-02-20   3:13  4.11  Preia-Mar           
2019-02-20   9:28  0.42  Baixa-Mar           
2019-02-20  15:40  3.89  Preia-Mar           
2019-02-20  21:42  0.52  Baixa-Mar           
2019-02-21   3:58  4.17  Preia-Mar           
2019-02-21  10:13  0.41  Baixa-Mar           
2019-02-21  16:24  3.89  Preia-Mar           
2019-02-21  22:26  0.54  Baixa-Mar           
2019-02-22   4:43  4.11  Preia-Mar           
2019-02-22  10:57  0.50  Baixa-Mar           
2019-02-22  17:08  3.80  Preia-Mar           
2019-02-22  23:10  0.65  Baixa-Mar           
2019-02-23   5:28  3.94  Preia-Mar           
2019-02-23  11:41  0.69  Baixa-Mar           
2019-02-23  17:53  3.63  Preia-Mar           
2019-02-23  23:56  0.85  Baixa-Mar           
2019-02-24   6:15  3.69  Preia-Mar           
2019-02-24  12:27  0.94  Baixa-Mar           
2019-02-24  18:40  3.41  Preia-Mar           
2019-02-25   0:45  1.10  Baixa-Mar           
2019-02-25   7:05  3.39  Preia-Mar           
2019-02-25  13:16  1.22  Baixa-Mar           
2019-02-25  19:33  3.18  Preia-Mar           
2019-02-26   1:42  1.36  Baixa-Mar           
2019-02-26   8:02  3.09  Preia-Mar           
2019-02-26  14:15  1.48  Baixa-Mar           
2019-02-26  20:37  2.98  Preia-Mar           
2019-02-27   2:54  1.57  Baixa-Mar           
2019-02-27   9:15  2.86  Preia-Mar           
2019-02-27  15:32  1.66  Baixa-Mar           
2019-02-27  21:56  2.87  Preia-Mar           
2019-02-28   4:26  1.66  Baixa-Mar           
2019-02-28  10:43  2.77  Preia-Mar           
2019-02-28  16:58  1.70  Baixa-Mar           
2019-02-28  23:19  2.90  Preia-Mar           
2019-03-01   5:49  1.59  Baixa-Mar           
2019-03-01  12:01  2.82  Preia-Mar           
2019-03-01  18:09  1.62  Baixa-Mar           
2019-03-02   0:24  3.01  Preia-Mar           
2019-03-02   6:47  1.46  Baixa-Mar           
2019-03-02  12:57  2.95  Preia-Mar           
2019-03-02  18:59  1.48  Baixa-Mar           
2019-03-03   1:11  3.17  Preia-Mar           
2019-03-03   7:29  1.30  Baixa-Mar           
2019-03-03  13:38  3.09  Preia-Mar           
2019-03-03  19:37  1.33  Baixa-Mar           
2019-03-04   1:49  3.33  Preia-Mar           
2019-03-04   8:04  1.15  Baixa-Mar           
2019-03-04  14:12  3.23  Preia-Mar           
2019-03-04  20:11  1.18  Baixa-Mar           
2019-03-05   2:23  3.47  Preia-Mar           
2019-03-05   8:35  1.02  Baixa-Mar           
2019-03-05  14:43  3.36  Preia-Mar           
2019-03-05  20:42  1.05  Baixa-Mar           
2019-03-06   2:54  3.58  Preia-Mar           
2019-03-06   9:05  0.92  Baixa-Mar           
2019-03-06  15:13  3.45  Preia-Mar           
2019-03-06  21:12  0.95  Baixa-Mar           
2019-03-07   3:25  3.65  Preia-Mar           
2019-03-07   9:34  0.86  Baixa-Mar           
2019-03-07  15:43  3.51  Preia-Mar           
2019-03-07  21:42  0.90  Baixa-Mar           
2019-03-08   3:55  3.67  Preia-Mar           
2019-03-08  10:04  0.85  Baixa-Mar           
2019-03-08  16:13  3.51  Preia-Mar           
2019-03-08  22:12  0.90  Baixa-Mar           
2019-03-09   4:26  3.64  Preia-Mar           
2019-03-09  10:33  0.88  Baixa-Mar           
2019-03-09  16:43  3.48  Preia-Mar           
2019-03-09  22:43  0.95  Baixa-Mar           
2019-03-10   4:57  3.56  Preia-Mar           
2019-03-10  11:04  0.96  Baixa-Mar           
2019-03-10  17:14  3.40  Preia-Mar           
2019-03-10  23:16  1.04  Baixa-Mar           
2019-03-11   5:30  3.44  Preia-Mar           
2019-03-11  11:38  1.08  Baixa-Mar           
2019-03-11  17:49  3.30  Preia-Mar           
2019-03-11  23:52  1.16  Baixa-Mar           
2019-03-12   6:07  3.29  Preia-Mar           
2019-03-12  12:15  1.22  Baixa-Mar           
2019-03-12  18:29  3.17  Preia-Mar           
2019-03-13   0:36  1.31  Baixa-Mar           
2019-03-13   6:53  3.11  Preia-Mar           
2019-03-13  13:02  1.38  Baixa-Mar           
2019-03-13  19:21  3.04  Preia-Mar           
2019-03-14   1:33  1.46  Baixa-Mar           
2019-03-14   7:54  2.95  Preia-Mar           
2019-03-14  14:06  1.53  Baixa-Mar           
2019-03-14  20:33  2.94  Preia-Mar           
2019-03-15   2:54  1.54  Baixa-Mar           
2019-03-15   9:19  2.86  Preia-Mar           
2019-03-15  15:33  1.58  Baixa-Mar           
2019-03-15  22:02  2.97  Preia-Mar           
2019-03-16   4:30  1.47  Baixa-Mar           
2019-03-16  10:52  2.93  Preia-Mar           
2019-03-16  17:03  1.48  Baixa-Mar           
2019-03-16  23:24  3.15  Preia-Mar           
2019-03-17   5:49  1.25  Baixa-Mar           
2019-03-17  12:06  3.13  Preia-Mar           
2019-03-17  18:12  1.25  Baixa-Mar           
2019-03-18   0:29  3.42  Preia-Mar           
2019-03-18   6:50  0.97  Baixa-Mar           
2019-03-18  13:04  3.39  Preia-Mar           
2019-03-18  19:07  0.98  Baixa-Mar           
2019-03-19   1:23  3.70  Preia-Mar           
2019-03-19   7:40  0.70  Baixa-Mar           
2019-03-19  13:53  3.62  Preia-Mar           
2019-03-19  19:56  0.74  Baixa-Mar           
2019-03-20   2:11  3.94  Preia-Mar           
2019-03-20   8:26  0.51  Baixa-Mar           
2019-03-20  14:38  3.81  Preia-Mar           
2019-03-20  20:40  0.55  Baixa-Mar           
2019-03-21   2:55  4.08  Preia-Mar           
2019-03-21   9:09  0.40  Baixa-Mar           
2019-03-21  15:20  3.90  Preia-Mar           
2019-03-21  21:23  0.46  Baixa-Mar           
2019-03-22   3:39  4.11  Preia-Mar           
2019-03-22   9:50  0.41  Baixa-Mar           
2019-03-22  16:02  3.91  Preia-Mar           
2019-03-22  22:05  0.48  Baixa-Mar           
