CÁLCULO DE MARÉS DE PORTOS PORTUGUESES
FACULDADE DE CIÊNCIAS DA UNIVERSIDADE DE LISBOA
Carlos Antunes, http://enggeografica.fc.ul.pt

MODELO DE PREVISÃO DE MARÉS DA FCUL (EG/DEGGE)                  
ajustado ao marégrafo de LEIXÕES pelo Grupo de EG da FCUL       
DADOS DE MARÉ DO Instituto Hidrográfico - 1H DE 2007            

PORTO DE LEIXOES                  

  Data       Hora   Alt    Maré
2017-02-16   6:12  3.37  Preia-Mar           
2017-02-16  12:20  1.19  Baixa-Mar           
2017-02-16  18:34  3.17  Preia-Mar           
2017-02-17   0:35  1.33  Baixa-Mar           
2017-02-17   6:52  3.15  Preia-Mar           
2017-02-17  13:01  1.39  Baixa-Mar           
2017-02-17  19:18  3.00  Preia-Mar           
2017-02-18   1:21  1.52  Baixa-Mar           
2017-02-18   7:40  2.94  Preia-Mar           
2017-02-18  13:50  1.57  Baixa-Mar           
2017-02-18  20:13  2.85  Preia-Mar           
2017-02-19   2:21  1.68  Baixa-Mar           
2017-02-19   8:42  2.77  Preia-Mar           
2017-02-19  14:56  1.71  Baixa-Mar           
2017-02-19  21:24  2.76  Preia-Mar           
2017-02-20   3:43  1.76  Baixa-Mar           
2017-02-20  10:03  2.70  Preia-Mar           
2017-02-20  16:19  1.74  Baixa-Mar           
2017-02-20  22:46  2.79  Preia-Mar           
2017-02-21   5:10  1.70  Baixa-Mar           
2017-02-21  11:23  2.75  Preia-Mar           
2017-02-21  17:34  1.65  Baixa-Mar           
2017-02-21  23:54  2.93  Preia-Mar           
2017-02-22   6:14  1.54  Baixa-Mar           
2017-02-22  12:24  2.90  Preia-Mar           
2017-02-22  18:29  1.49  Baixa-Mar           
2017-02-23   0:46  3.12  Preia-Mar           
2017-02-23   7:01  1.34  Baixa-Mar           
2017-02-23  13:11  3.08  Preia-Mar           
2017-02-23  19:13  1.29  Baixa-Mar           
2017-02-24   1:28  3.33  Preia-Mar           
2017-02-24   7:41  1.13  Baixa-Mar           
2017-02-24  13:50  3.28  Preia-Mar           
2017-02-24  19:51  1.09  Baixa-Mar           
2017-02-25   2:05  3.53  Preia-Mar           
2017-02-25   8:17  0.93  Baixa-Mar           
2017-02-25  14:27  3.46  Preia-Mar           
2017-02-25  20:28  0.91  Baixa-Mar           
2017-02-26   2:42  3.71  Preia-Mar           
2017-02-26   8:53  0.76  Baixa-Mar           
2017-02-26  15:03  3.60  Preia-Mar           
2017-02-26  21:04  0.77  Baixa-Mar           
2017-02-27   3:18  3.84  Preia-Mar           
2017-02-27   9:29  0.64  Baixa-Mar           
2017-02-27  15:39  3.70  Preia-Mar           
2017-02-27  21:40  0.68  Baixa-Mar           
2017-02-28   3:55  3.91  Preia-Mar           
2017-02-28  10:06  0.59  Baixa-Mar           
2017-02-28  16:17  3.73  Preia-Mar           
2017-02-28  22:18  0.66  Baixa-Mar           
2017-03-01   4:34  3.90  Preia-Mar           
2017-03-01  10:44  0.62  Baixa-Mar           
2017-03-01  16:56  3.70  Preia-Mar           
2017-03-01  22:59  0.71  Baixa-Mar           
2017-03-02   5:15  3.81  Preia-Mar           
2017-03-02  11:26  0.72  Baixa-Mar           
2017-03-02  17:38  3.59  Preia-Mar           
2017-03-02  23:42  0.83  Baixa-Mar           
2017-03-03   6:00  3.64  Preia-Mar           
2017-03-03  12:11  0.90  Baixa-Mar           
2017-03-03  18:26  3.44  Preia-Mar           
2017-03-04   0:32  1.01  Baixa-Mar           
2017-03-04   6:52  3.42  Preia-Mar           
2017-03-04  13:03  1.12  Baixa-Mar           
2017-03-04  19:22  3.26  Preia-Mar           
2017-03-05   1:32  1.22  Baixa-Mar           
2017-03-05   7:55  3.18  Preia-Mar           
2017-03-05  14:08  1.33  Baixa-Mar           
2017-03-05  20:31  3.11  Preia-Mar           
2017-03-06   2:50  1.37  Baixa-Mar           
2017-03-06   9:15  3.01  Preia-Mar           
2017-03-06  15:30  1.46  Baixa-Mar           
2017-03-06  21:55  3.06  Preia-Mar           
2017-03-07   4:23  1.40  Baixa-Mar           
