timestamp,waterlevel,"tide(1:high tide, 0:low tide)"
1539045420.0,3.76,1.0
1539067320.0,0.56,0.0
1539089700.0,3.92,1.0
1539111960.0,0.51,0.0
1539134220.0,3.8,1.0
1539156120.0,0.55,0.0
1539178500.0,3.86,1.0
1539200580.0,0.58,0.0
1539222900.0,3.75,1.0
1539244860.0,0.63,0.0
1539267300.0,3.72,1.0
1539289200.0,0.72,0.0
1539311580.0,3.63,1.0
1539333600.0,0.78,0.0
1539356040.0,3.52,1.0
1539377820.0,0.92,0.0
1539400320.0,3.46,1.0
1539422400.0,0.98,0.0
1539444840.0,3.28,1.0
1539466560.0,1.15,0.0
1539489180.0,3.26,1.0
1539511380.0,1.21,0.0
1539533940.0,3.04,1.0
1539555480.0,1.38,0.0
1539578400.0,3.05,1.0
1539600840.0,1.43,0.0
1539623580.0,2.81,1.0
1539645060.0,1.6,0.0
1539668280.0,2.87,1.0
1539691260.0,1.6,0.0
1539714300.0,2.66,1.0
1539735900.0,1.75,0.0
1539759300.0,2.77,1.0
1539783000.0,1.66,0.0
1539805920.0,2.63,1.0
1539827880.0,1.77,0.0
1539850680.0,2.79,1.0
1539874260.0,1.59,0.0
1539896820.0,2.73,1.0
1539918660.0,1.66,0.0
1539940980.0,2.91,1.0
1539964020.0,1.44,0.0
1539986400.0,2.9,1.0
1540008120.0,1.48,0.0
1540030320.0,3.08,1.0
1540052940.0,1.27,0.0
1540075200.0,3.08,1.0
1540096920.0,1.3,0.0
1540119120.0,3.26,1.0
1540141500.0,1.1,0.0
1540163700.0,3.26,1.0
1540185420.0,1.11,0.0
1540207620.0,3.42,1.0
1540229880.0,0.94,0.0
1540252080.0,3.42,1.0
1540273860.0,0.95,0.0
1540296060.0,3.56,1.0
1540318200.0,0.82,0.0
1540340460.0,3.56,1.0
1540362240.0,0.82,0.0
1540384500.0,3.66,1.0
1540406580.0,0.73,0.0
1540428840.0,3.65,1.0
1540450740.0,0.74,0.0
1540473000.0,3.7,1.0
1540495020.0,0.7,0.0
1540517340.0,3.69,1.0
1540539300.0,0.72,0.0
1540561620.0,3.68,1.0
1540583580.0,0.73,0.0
1540605960.0,3.67,1.0
1540628040.0,0.75,0.0
1540650420.0,3.6,1.0
1540672320.0,0.83,0.0
1540698420.0,3.6,1.0
1540720620.0,0.85,0.0
1540743060.0,3.46,1.0
1540764960.0,0.98,0.0
1540787520.0,3.47,1.0
1540809960.0,1.0,0.0
1540832580.0,3.27,1.0
1540854360.0,1.18,0.0
1540877220.0,3.32,1.0
1540899900.0,1.16,0.0
1540922760.0,3.08,1.0
1540944480.0,1.37,0.0
1540967640.0,3.18,1.0
1540990740.0,1.29,0.0
1541013840.0,2.96,1.0
