x,y,z,mvar
2022.6890756304244,4798.673480344809,-0.5,0.004747344507088809
2022.6890756304244,4798.673480344809,-1.5,0.0011301745574166238
2022.6890756304244,4798.673480344809,-2.5,4.857802512547599e-05
2022.6890756304244,4798.673480344809,-3.5,4.1545096746632755e-05
2022.6890756304244,4798.673480344809,-4.5,4.024997347581555e-05
2092.4369747898218,4798.627729679261,-0.5,0.005368285508311927
2092.4369747898218,4798.627729679261,-1.5,0.0011359752775812674
2092.4369747898218,4798.627729679261,-2.5,5.036911775472962e-05
2092.4369747898218,4798.627729679261,-3.5,4.25363430829022e-05
2092.4369747898218,4798.627729679261,-4.5,4.095573052259785e-05
2162.184873949219,4798.581978439874,-0.5,0.005150905321747553
2162.184873949219,4798.581978439874,-1.5,0.0011338496791795088
2162.184873949219,4798.581978439874,-2.5,6.104626816302928e-05
2162.184873949219,4798.581978439874,-3.5,5.305529630899496e-05
2162.184873949219,4798.581978439874,-4.5,5.152944582132006e-05
2231.932773109407,4798.536226626648,-0.5,0.006027767601815434
2231.932773109407,4798.536226626648,-1.5,0.0012704165736496522
2231.932773109407,4798.536226626648,-2.5,6.418633431123107e-05
2231.932773109407,4798.536226626648,-3.5,5.454612125661473e-05
2231.932773109407,4798.536226626648,-4.5,5.2849680205399827e-05
2301.680672268804,4798.490474239594,-0.5,0.005546009119430272
2301.680672268804,4798.490474239594,-1.5,0.0012733458605799662
2301.680672268804,4798.490474239594,-2.5,7.390652675835604e-05
2301.680672268804,4798.490474239594,-3.5,6.246113227984966e-05
2301.680672268804,4798.490474239594,-4.5,6.0328356240396925e-05
2371.428571428201,4798.444721278714,-0.5,0.006077901904345227
2371.428571428201,4798.444721278714,-1.5,0.0016505493908927425
2371.428571428201,4798.444721278714,-2.5,6.42449560539921e-05
2371.428571428201,4798.444721278714,-3.5,5.438018625705023e-05
2371.428571428201,4798.444721278714,-4.5,5.256748449264057e-05
2441.176470588389,4798.398967744013,-0.5,0.00661616832250161
2441.176470588389,4798.398967744013,-1.5,0.0013967407778936415
2441.176470588389,4798.398967744013,-2.5,7.867626646159747e-05
2441.176470588389,4798.398967744013,-3.5,6.627337236186439e-05
2441.176470588389,4798.398967744013,-4.5,6.450241355409299e-05
2510.924369747786,4798.353213635499,-0.5,0.006730650374663222
2510.924369747786,4798.353213635499,-1.5,0.0016009807971831824
2510.924369747786,4798.353213635499,-2.5,9.47856281404972e-05
2510.924369747786,4798.353213635499,-3.5,8.093691271120047e-05
2510.924369747786,4798.353213635499,-4.5,7.846050832988835e-05
2580.672268907183,4798.307458953177,-0.5,0.007807955932485318
2580.672268907183,4798.307458953177,-1.5,0.001831684750082016
2580.672268907183,4798.307458953177,-2.5,9.912211748766894e-05
2580.672268907183,4798.307458953177,-3.5,8.34935941406062e-05
2580.672268907183,4798.307458953177,-4.5,8.10858484986679e-05
2650.420168067371,4798.2617036970505,-0.5,0.007749893708834
2650.420168067371,4798.2617036970505,-1.5,0.0016083374919237657
2650.420168067371,4798.2617036970505,-2.5,0.00011249714132783015
2650.420168067371,4798.2617036970505,-3.5,9.05368090280003e-05
2650.420168067371,4798.2617036970505,-4.5,8.713234633823506e-05
2720.1680672267685,4798.215947867127,-0.5,0.00809196465060786
2720.1680672267685,4798.215947867127,-1.5,0.0020953633076212
2720.1680672267685,4798.215947867127,-2.5,0.0001094816402961234
2720.1680672267685,4798.215947867127,-3.5,8.830669907339243e-05
2720.1680672267685,4798.215947867127,-4.5,8.471814926602e-05
2789.915966386165,4798.170191463411,-0.5,0.008618963531481942
2789.915966386165,4798.170191463411,-1.5,0.002176389478136354
2789.915966386165,4798.170191463411,-2.5,0.00010812372405825643
2789.915966386165,4798.170191463411,-3.5,9.035279860222796e-05
2789.915966386165,4798.170191463411,-4.5,8.696525217646269e-05
2859.6638655463535,4798.124434485908,-0.5,0.010324734127823506
2859.6638655463535,4798.124434485908,-1.5,0.002794878475007466
2859.6638655463535,4798.124434485908,-2.5,0.00013927774978527953
2859.6638655463535,4798.124434485908,-3.5,0.00011122367841057567
2859.6638655463535,4798.124434485908,-4.5,0.00010670196390556113
2929.4117647057506,4798.078676934623,-0.5,0.010928227983242158
2929.4117647057506,4798.078676934623,-1.5,0.002317742616998984
2929.4117647057506,4798.078676934623,-2.5,0.00012923316591064075
2929.4117647057506,4798.078676934623,-3.5,0.00010370680866043335
2929.4117647057506,4798.078676934623,-4.5,9.939338493867454e-05
2999.159663865938,4798.032918809563,-0.5,0.012370701361315318
2999.159663865938,4798.032918809563,-1.5,0.002701404168330015
2999.159663865938,4798.032918809563,-2.5,0.00017293195834019298
2999.159663865938,4798.032918809563,-3.5,0.00013666758052256414
2999.159663865938,4798.032918809563,-4.5,0.00013170022888389039
3068.9075630253355,4797.9871601107325,-0.5,0.013895708587007673
3068.9075630253355,4797.9871601107325,-1.5,0.0031279014422750952
3068.9075630253355,4797.9871601107325,-2.5,0.00020567967289862558
3068.9075630253355,4797.9871601107325,-3.5,0.00015149255624122363
3068.9075630253355,4797.9871601107325,-4.5,0.00014420603543594245
3138.655462184732,4797.941400838136,-0.5,0.013542500775256892
