lat,lon,depth
41.065,-8.73149880279527,-1.5
41.065,-8.73149880279527,-2.5
41.065,-8.73149880279527,-3.5
41.065,-8.73149880279527,-4.5
41.065,-8.73072596668575,0.0
41.065,-8.73072596668575,-0.5
41.065,-8.73072596668575,-1.5
41.065,-8.73072596668575,-2.5
41.065,-8.73072596668575,-3.5
41.065,-8.73072596668575,-4.5
41.065,-8.729953130576229,0.0
41.065,-8.729953130576229,-0.5
41.065,-8.729953130576229,-1.5
41.065,-8.729953130576229,-2.5
41.065,-8.729953130576229,-3.5
41.065,-8.729953130576229,-4.5
41.065,-8.729180294466708,0.0
41.065,-8.729180294466708,-0.5
41.065,-8.729180294466708,-1.5
41.065,-8.729180294466708,-2.5
41.065,-8.729180294466708,-3.5
41.065,-8.729180294466708,-4.5
41.065,-8.728407458357188,0.0
41.065,-8.728407458357188,-0.5
41.065,-8.728407458357188,-1.5
41.065,-8.728407458357188,-2.5
41.065,-8.728407458357188,-3.5
41.065,-8.728407458357188,-4.5
41.065,-8.727634622247667,0.0
41.065,-8.727634622247667,-0.5
41.065,-8.727634622247667,-1.5
41.065,-8.727634622247667,-2.5
41.065,-8.727634622247667,-3.5
41.065,-8.727634622247667,-4.5
41.065,-8.726861786138146,0.0
41.065,-8.726861786138146,-0.5
41.065,-8.726861786138146,-1.5
41.065,-8.726861786138146,-2.5
41.065,-8.726861786138146,-3.5
41.065,-8.726861786138146,-4.5
41.065,-8.726088950028625,0.0
41.065,-8.726088950028625,-0.5
41.065,-8.726088950028625,-1.5
41.065,-8.726088950028625,-2.5
41.065,-8.726088950028625,-3.5
41.065,-8.726088950028625,-4.5
41.065,-8.725316113919105,0.0
41.065,-8.725316113919105,-0.5
41.065,-8.725316113919105,-1.5
41.065,-8.725316113919105,-2.5
41.065,-8.725316113919105,-3.5
41.065,-8.725316113919105,-4.5
41.065,-8.724543277809584,0.0
41.065,-8.724543277809584,-0.5
41.065,-8.724543277809584,-1.5
41.065,-8.724543277809584,-2.5
41.065,-8.724543277809584,-3.5
41.065,-8.724543277809584,-4.5
41.065,-8.723770441700063,0.0
41.065,-8.723770441700063,-0.5
41.065,-8.723770441700063,-1.5
41.065,-8.723770441700063,-2.5
41.065,-8.723770441700063,-3.5
41.065,-8.723770441700063,-4.5
41.065,-8.722997605590542,0.0
41.065,-8.722997605590542,-0.5
41.065,-8.722997605590542,-1.5
41.065,-8.722997605590542,-2.5
41.065,-8.722997605590542,-3.5
41.065,-8.722997605590542,-4.5
41.065,-8.722224769481022,0.0
41.065,-8.722224769481022,-0.5
41.065,-8.722224769481022,-1.5
41.065,-8.722224769481022,-2.5
41.065,-8.722224769481022,-3.5
41.065,-8.722224769481022,-4.5
41.065,-8.721451933371501,0.0
41.065,-8.721451933371501,-0.5
41.065,-8.721451933371501,-1.5
41.065,-8.721451933371501,-2.5
41.065,-8.721451933371501,-3.5
41.065,-8.721451933371501,-4.5
41.065,-8.72067909726198,0.0
41.065,-8.72067909726198,-0.5
41.065,-8.72067909726198,-1.5
41.065,-8.72067909726198,-2.5
41.065,-8.72067909726198,-3.5
41.065,-8.72067909726198,-4.5
41.065,-8.71990626115246,0.0
41.065,-8.71990626115246,-0.5
41.065,-8.71990626115246,-1.5
41.065,-8.71990626115246,-2.5
41.065,-8.71990626115246,-3.5
41.065,-8.71990626115246,-4.5
41.065,-8.719133425042939,0.0
41.065,-8.719133425042939,-0.5
